Gene	log2FC_mRNA	padj
91235	-1.757532653	3.59E-07
174448	-2.067492493	3.97E-07
80289	1.885479904	3.98E-07
137746	2.43652433	4.02E-07
108397	-1.873908616	4.09E-07
156735	-1.299378894	4.18E-07
114945	1.379718969	4.22E-07
147401	2.693222036	4.25E-07
155742	-1.477489212	4.30E-07
105068	1.098050891	4.85E-07
155735	2.296951365	5.00E-07
155444	-1.145284754	5.06E-07
106942	-2.491663021	5.18E-07
94625	-1.054906215	5.18E-07
105610	1.76165915	5.22E-07
153852	-1.219797255	5.29E-07
155679	1.272724699	5.48E-07
149780	2.164483727	6.29E-07
125916	1.057896393	6.37E-07
16135	-2.970343423	6.37E-07
159330	1.281565061	6.78E-07
142083	2.53126256	6.83E-07
155036	1.12840328	6.83E-07
177120	-1.427188976	6.95E-07
156167	-1.32588238	7.06E-07
155531	2.482460191	7.23E-07
155652	1.212016126	7.24E-07
114325	-1.891174492	7.35E-07
184709	1.202387079	7.52E-07
81750	1.586427813	7.53E-07
165975	1.994694447	7.62E-07
141604	-1.045218682	8.13E-07
155885	-1.127230237	8.17E-07
148861	2.176426608	8.47E-07
156229	-1.045650307	8.56E-07
157132	2.030805468	8.89E-07
114612	2.379297163	9.01E-07
162807	1.47517128	9.70E-07
t116	4.136459291	1.02E-06
158914	-1.425934681	1.12E-06
157486	2.390368742	1.13E-06
107163	1.177123102	1.26E-06
141131	1.088845841	1.48E-06
149865	-1.279107252	1.52E-06
161379	1.242646405	1.63E-06
85908	-1.260271039	1.66E-06
51186	1.103402731	1.67E-06
116340	1.43701433	1.69E-06
163857	1.150569846	1.70E-06
157584	1.16614107	1.71E-06
93158	2.906413398	1.71E-06
157210	1.104584535	1.72E-06
108619	1.297910014	1.73E-06
157916	1.487097573	1.73E-06
139177	1.314674341	1.81E-06
157264	1.059705858	1.85E-06
141809	-1.576343213	1.89E-06
130612	-1.38629213	2.01E-06
135169	-2.403305536	2.10E-06
155026	-1.373451484	2.11E-06
165926	-1.095972705	2.15E-06
154075	-2.235643546	2.16E-06
125638	-2.220677227	2.20E-06
113895	-1.364008948	2.33E-06
76509	2.240123147	2.33E-06
108974	1.507628314	2.44E-06
125413	-1.207574352	2.50E-06
123569	1.259265034	2.78E-06
42629	2.138262436	2.91E-06
115038	1.673750633	3.09E-06
157402	2.864467968	3.19E-06
156766	1.603023577	3.24E-06
190180	1.208333429	3.25E-06
86845	1.126609971	3.26E-06
113990	-1.457594653	3.58E-06
183535	-1.018074125	3.60E-06
171024	1.377106073	3.67E-06
76795	-1.027713368	3.73E-06
113048	1.179615728	3.73E-06
155879	1.032287665	3.73E-06
116409	-1.724055364	3.74E-06
80593	-2.907551913	3.74E-06
41289	1.631166194	3.80E-06
115579	3.190035773	3.81E-06
118420	-2.467701143	4.12E-06
78961	2.34406123	4.29E-06
111191	3.633066441	4.61E-06
156198	1.940176935	4.68E-06
158870	-1.477475368	4.74E-06
106367	-1.102954753	4.87E-06
110704	-1.984895207	4.89E-06
161983	1.013522404	4.97E-06
113688	-1.333524761	4.97E-06
165248	1.170088964	5.12E-06
141863	1.054963951	5.13E-06
117141	1.328540844	5.62E-06
156250	1.243848762	5.79E-06
138837	1.553369706	5.91E-06
145853	-2.463242607	5.92E-06
83143	-1.819526805	6.33E-06
76764	1.391887146	6.42E-06
155456	1.761895486	6.43E-06
116168	-2.124586679	6.44E-06
161062	1.014741432	6.46E-06
80681	1.167820232	6.75E-06
160164	-1.128472227	7.25E-06
107098	1.055594547	7.28E-06
157180	1.101965756	7.81E-06
161895	1.357590712	7.81E-06
108855	3.851282458	7.89E-06
113331	-4.717943297	8.33E-06
157066	1.595315175	8.44E-06
155553	-1.480089038	8.58E-06
138847	1.520353725	9.03E-06
80895	1.74231045	9.22E-06
151310	1.889511438	9.41E-06
166949	1.581721083	9.41E-06
156685	1.235185453	9.48E-06
112467	-1.695555846	9.76E-06
79339	-1.572544833	9.91E-06
125653	-1.505132048	1.01E-05
143436	1.529035909	1.01E-05
161789	1.376744869	1.01E-05
144360	-1.406780484	1.01E-05
108490	1.424903352	1.02E-05
139679	-1.739479913	1.02E-05
156289	-1.982474737	1.05E-05
152780	-1.191932497	1.10E-05
155343	1.129633445	1.12E-05
166730	1.179896444	1.13E-05
190394	-1.293165604	1.13E-05
190286	1.18683791	1.17E-05
109925	1.151852526	1.17E-05
73332	-1.424778916	1.20E-05
165704	-1.332179502	1.22E-05
129816	-1.538222931	1.22E-05
164679	2.169144086	1.25E-05
113600	1.567551566	1.26E-05
106397	1.295381944	1.31E-05
106237	1.095403819	1.35E-05
80799	-1.712556596	1.42E-05
157371	-1.08237574	1.48E-05
40808	-1.360492989	1.49E-05
154841	-1.596090579	1.58E-05
145653	1.037437783	1.66E-05
138737	1.674379367	1.67E-05
157218	1.014468226	1.69E-05
142931	1.034845217	1.79E-05
78987	1.123741849	1.79E-05
104629	1.139616569	1.79E-05
163294	-1.15750762	1.88E-05
157997	-1.146308227	2.04E-05
157476	1.588649828	2.07E-05
79113	1.014255307	2.10E-05
161614	-1.337822458	2.10E-05
106892	1.149852315	2.13E-05
186663	-1.723993777	2.13E-05
156961	-1.030959852	2.14E-05
129018	-1.016546021	2.23E-05
156567	-1.367737726	2.28E-05
157230	1.210579037	2.29E-05
113018	2.527199838	2.30E-05
115925	1.900912187	2.47E-05
158105	1.191837422	2.51E-05
17593	1.967491166	2.85E-05
84477	1.452209441	2.87E-05
115756	1.11563133	2.88E-05
109863	1.938028164	2.99E-05
156248	1.679850294	3.07E-05
81119	-1.420784304	3.20E-05
152059	1.041244295	3.36E-05
139193	1.343358853	3.37E-05
111504	2.556741642	3.51E-05
112419	-1.189687188	3.55E-05
105456	1.964812178	3.74E-05
184669	1.105758877	3.82E-05
159785	2.205293912	3.85E-05
145801	-1.535473652	4.14E-05
156679	-1.487767989	4.18E-05
154961	-1.209862559	4.22E-05
152708	2.213478435	4.32E-05
154969	-1.444939885	4.42E-05
155518	1.57467492	4.47E-05
150847	-1.175021492	4.58E-05
115568	1.540662938	4.81E-05
155626	1.515701634	5.00E-05
109230	-1.132396398	5.11E-05
155423	1.091375773	5.23E-05
167165	1.069520365	5.38E-05
38698	-1.468416247	5.58E-05
143452	-1.213959076	5.68E-05
186396	-1.244285161	5.88E-05
110207	1.142317586	5.99E-05
114189	-1.127079882	6.02E-05
105267	-1.269116185	6.28E-05
140340	1.275727415	6.30E-05
167705	1.255714966	6.38E-05
108606	3.089552874	6.51E-05
163567	1.401435782	6.89E-05
109796	-1.576982715	7.01E-05
183210	1.151651822	7.06E-05
109390	1.244730542	7.27E-05
125943	1.406656766	7.27E-05
156962	-1.19647429	7.29E-05
161881	1.4228133	7.43E-05
153282	1.047207605	7.94E-05
157397	1.318845334	7.94E-05
144921	-2.026004766	8.34E-05
111223	1.108090538	8.57E-05
91737	-1.339168966	8.77E-05
107783	1.073135595	8.88E-05
113045	1.201495947	8.96E-05
115759	-1.347476989	9.54E-05
154664	-1.407702094	9.65E-05
154479	1.25192902	9.78E-05
115036	1.213573657	0.0001
166585	1.012381285	0.000101793
186366	1.339766315	0.000105943
85459	1.117419085	0.000106546
156800	-1.073731468	0.000107015
152236	-1.339067398	0.00010836
155773	-1.041004355	0.000112937
114756	1.289040244	0.000115764
111195	1.790084866	0.000116787
79271	-1.05080442	0.000119654
162997	2.08401199	0.000120655
107658	1.643256227	0.00012183
155983	-1.172570281	0.000123377
161753	1.597371465	0.000123377
136094	-1.259752628	0.000123916
151819	-1.247070189	0.000129459
72330	1.195906584	0.00013172
108290	1.640833554	0.000133349
174374	1.383538467	0.000134142
169735	-1.161081764	0.000134973
104141	1.641230663	0.000138406
112863	-1.053701799	0.000138997
113522	1.176168363	0.000138997
123725	-1.630728895	0.000139716
105096	1.322434881	0.000141915
81764	1.108485727	0.000142635
157978	1.832734156	0.000143819
92236	-1.183455886	0.000149292
145234	-1.533395815	0.000153658
159532	1.031092408	0.000163172
155287	1.099873696	0.000169927
78068	-1.37044389	0.000180074
155329	1.168737663	0.000180815
185990	1.358835839	0.000187599
155794	1.513975657	0.000189248
112497	2.116959996	0.000190509
129817	1.233795644	0.000191013
80369	-1.227747734	0.000198972
158235	-1.20389469	0.000199653
163411	-1.576092262	0.000200311
148070	1.012837497	0.000201378
104454	1.181165567	0.000209076
31991	1.159693245	0.000220139
113807	-1.723445042	0.00022151
155960	1.196818972	0.000224566
164609	-1.331480862	0.000224566
116343	1.139123997	0.000229991
115594	2.228299026	0.000243066
116297	1.051981523	0.000262144
109906	1.253514988	0.00026863
156313	2.306092275	0.000270307
92193	3.04624188	0.000280115
157479	1.565106907	0.000284895
163402	-2.590465875	0.000290883
138671	1.151359423	0.000295774
77403	1.700903741	0.000298846
177510	-1.114159277	0.000303227
110009	-1.360497366	0.000310989
152855	-1.78935166	0.000316055
118188	3.420472369	0.000317235
133506	1.304883499	0.000317937
167855	-1.923240493	0.000323793
82930	2.405554389	0.000325374
127703	1.322224778	0.000336011
104593	2.567770001	0.000341328
104285	1.503613954	0.000342921
145224	1.103649883	0.000355155
133754	-1.157953288	0.000361258
84447	-1.075668715	0.000369219
157811	-1.770089801	0.000373692
186086	1.385361691	0.000378659
156069	1.446013323	0.000398305
120175	-1.030031852	0.000425163
108485	-1.05972994	0.000444227
34232	2.470034539	0.000451213
142496	2.175742977	0.000452586
155262	-1.290398786	0.000452752
36529	1.23987176	0.000452913
110400	-1.124480641	0.000458147
109934	1.165381274	0.000459414
41661	-1.191078913	0.000459896
178831	-1.066853404	0.000461384
75944	-1.472062236	0.000464704
107249	1.031014809	0.000467973
109667	1.61166365	0.000468238
142678	1.224428381	0.000484817
110931	1.328081271	0.000492196
134047	-3.018507028	0.000492674
156965	-1.470925023	0.000492674
110416	1.118778418	0.00050007
114717	1.361491451	0.000505841
82878	-1.035116735	0.000507797
147534	1.939648341	0.000517685
105552	-2.722819459	0.00052209
113746	1.925316416	0.000546879
133839	-1.048396106	0.000548483
85382	-1.387987777	0.000548989
151567	-1.068762591	0.000554898
39091	-1.367064568	0.000584557
83171	-3.396707166	0.000584557
126217	-1.179807139	0.000585371
137671	1.297107367	0.000585371
109978	1.864973431	0.000589241
159082	1.205702705	0.000593775
85967	1.719233307	0.000597934
184870	-3.964937953	0.000613038
164926	-1.261717786	0.000635909
115371	1.629545449	0.000665651
157131	-1.878405046	0.000666975
110302	1.80538754	0.000685769
186878	1.04364177	0.000696856
146382	-1.026247225	0.000713564
111187	2.562685934	0.000740783
105408	1.211493126	0.000755625
166573	-1.688352317	0.000758691
163802	1.38346785	0.000760521
140608	1.329200605	0.000788109
91055	1.433310662	0.000796869
89138	-1.595426998	0.000828649
108218	1.010798248	0.000849403
82118	-1.097645564	0.000881816
154946	-1.002585324	0.000900818
132050	1.376162035	0.000920884
155333	1.028395107	0.000920884
105139	-1.610527645	0.000921947
166875	1.032979425	0.000940555
147376	1.210453696	0.000941204
155591	-1.379558454	0.000949781
76500	-1.249433886	0.000983151
109263	-1.533231209	0.000993248
116040	-1.136359073	0.00099479
114932	1.005039952	0.000996213
77371	-1.171677793	0.000997084
113949	1.076377802	0.000998367
108481	1.230348488	0.001005148
182539	2.425731301	0.001012258
152335	1.022941871	0.001017143
155328	1.081235679	0.001045335
113953	2.035196048	0.001087716
107566	1.668353465	0.001104002
111211	1.78026902	0.001104149
20451	-1.29831143	0.001127538
125596	2.337980775	0.001128766
116320	-2.425329025	0.001130632
157122	-1.075813113	0.001141219
149736	3.6202634	0.001170558
105339	-1.306415554	0.001182411
162126	1.153854593	0.001203199
115001	1.556071512	0.001206107
81962	1.54632803	0.001250304
106776	1.034236817	0.001297085
140074	-1.052555383	0.001340616
157538	1.307675647	0.001371175
135016	1.517936958	0.001381075
156750	1.070593545	0.001393394
156933	-1.050577128	0.001422875
110152	-1.160214333	0.001438454
122488	1.355224742	0.001468743
107332	1.943185326	0.001470315
