Gene	log2FC_sRNA	padj
104841	-5.317120752	3.09E-32
115512	-4.862429853	3.67E-32
113546	-4.114596671	3.96E-32
161989	-5.105710428	4.14E-32
158932	-4.282496326	6.63E-32
111092	-4.956915429	1.08E-31
107563	-4.50357289	1.13E-31
135024	2.339793323	1.39E-31
160211	-4.248131992	2.66E-31
163599	-4.678287736	3.35E-31
34754	-4.701306924	6.12E-31
108887	-5.937265591	7.39E-31
159786	-4.096087041	1.33E-30
155592	3.318850491	1.36E-30
114775	-4.347521217	1.70E-30
76301	-4.653085239	1.78E-30
109225	-2.945365901	2.15E-30
113331	-6.237424786	3.11E-30
81415	-4.022361517	3.26E-30
83354	-4.562501195	3.28E-30
105207	-6.141417198	3.90E-30
157011	-4.933781911	4.04E-30
159787	-4.224735521	5.19E-30
112323	-4.230376721	5.90E-30
104836	-5.374308213	6.06E-30
108094	-3.690689878	1.35E-29
161888	-6.54183531	1.44E-29
109319	-4.54271982	2.14E-29
110969	-3.516042633	2.89E-29
162244	-4.60888939	4.47E-29
110942	-4.192768232	4.73E-29
167897	-4.278921407	5.35E-29
163979	-4.183641022	6.21E-29
111336	-4.804836989	7.02E-29
107736	-4.139327339	9.14E-28
146470	2.485169632	9.93E-28
160172	-3.940292654	1.16E-27
129817	1.834361336	1.45E-27
167948	-4.962670572	1.70E-27
157844	-4.27128214	2.23E-27
191377	2.425548694	2.55E-27
113233	-4.335667417	3.25E-27
109311	-4.763754877	4.23E-27
158643	-4.134565836	5.15E-27
112342	-5.13782382	8.36E-27
123809	-4.059993641	1.55E-26
115406	-4.598138023	2.19E-26
115937	-4.503434381	2.91E-26
113898	-4.225801421	3.19E-26
183044	-3.522063937	1.86E-25
119704	-5.078610391	4.31E-25
109495	-5.806453922	4.57E-25
167168	-5.03088153	4.99E-25
107924	-3.796757839	9.37E-25
105740	-4.266499092	1.12E-24
105451	-6.964303983	1.44E-24
83154	-3.244639613	1.71E-24
80729	-3.132240012	2.14E-24
109250	-3.567521879	2.77E-24
114610	-3.643063778	2.90E-24
166530	-3.777044432	4.52E-24
110808	2.025190276	4.80E-24
112100	-3.240447482	5.09E-24
186086	2.071127432	5.93E-24
164671	1.635245813	6.52E-24
115740	-5.066233394	1.01E-23
123802	-3.856859919	1.27E-23
123814	-3.667268158	2.55E-23
107352	-3.421622337	2.87E-23
112108	1.789780786	3.13E-23
116331	-4.396990207	3.62E-23
114150	-3.921937326	3.77E-23
138823	-5.054614634	4.23E-23
115737	-4.913151177	4.81E-23
179978	3.426643464	6.98E-23
166844	-4.181432243	7.22E-23
105184	-3.960032796	3.85E-22
123811	-3.84033812	6.97E-22
123803	-3.913784694	9.19E-22
108121	-3.342634977	1.20E-21
104978	-3.365462128	1.30E-21
158282	-4.761654317	1.57E-21
123866	-3.810215102	2.12E-21
157230	1.294991679	2.28E-21
178894	1.707720381	2.71E-21
161678	-3.369963997	2.74E-21
104552	-3.137644132	4.12E-21
144143	-5.505392428	6.83E-21
157288	2.262406608	8.33E-21
105154	-2.993097937	9.64E-21
114070	-3.76077174	1.48E-20
123804	-3.886275806	1.63E-20
157950	-3.281550385	1.70E-20
142378	2.503913202	1.81E-20
185166	1.823806496	2.65E-20
106727	-4.455634987	5.31E-20
115656	-4.612935838	5.74E-20
109284	-4.821747923	2.07E-19
104466	-5.963961888	3.66E-19
116326	-7.674712211	3.67E-19
109901	-4.881978105	3.83E-19
157401	-2.993960006	3.85E-19
48059	1.467491263	4.27E-19
113847	-3.771853785	4.64E-19
72765	-3.029089016	5.08E-19
162436	-2.687490598	6.07E-19
123808	-3.669833939	6.60E-19
75846	2.518694183	6.88E-19
85682	-3.434162272	1.50E-18
114231	-6.028623999	2.11E-18
123806	-3.776756207	2.49E-18
116280	-3.258712518	2.59E-18
113905	-4.790265455	4.81E-18
76290	-3.884188949	6.25E-18
155500	2.76305474	6.74E-18
113110	-3.582228558	7.33E-18
110912	-4.985640309	1.03E-17
116222	-3.586763154	1.16E-17
138658	2.92557448	1.54E-17
82041	-3.943221514	2.24E-17
83520	-2.103875121	2.52E-17
77548	-3.277052565	2.78E-17
125421	-3.623000252	3.05E-17
163935	-3.56676944	3.47E-17
111493	-2.049045191	5.64E-17
106198	-4.665592898	7.85E-17
155528	1.531351678	1.24E-16
154743	2.36806099	1.37E-16
105462	-2.606254171	1.77E-16
104873	-4.167638911	2.11E-16
161600	-2.441912653	2.48E-16
111531	-3.451917713	2.64E-16
77769	-3.823005745	2.86E-16
140082	1.780858883	3.20E-16
115397	-4.442443841	4.66E-16
111339	-3.535548673	4.75E-16
177367	1.659637256	7.22E-16
109233	-6.87799987	8.63E-16
162950	-2.374630022	1.57E-15
41289	1.70753896	2.88E-15
78293	-2.691265492	3.10E-15
145356	1.865145127	5.87E-15
31317	2.090693734	7.63E-15
132688	1.737456855	9.64E-15
154815	1.799175873	1.31E-14
113801	-3.981057961	1.47E-14
157166	1.600495041	1.84E-14
104593	3.26532075	2.31E-14
148011	1.769150562	2.61E-14
80205	-3.055954469	3.63E-14
91563	2.680839285	8.65E-14
155262	-2.041084046	1.38E-13
183033	-1.4200594	1.58E-13
140498	1.45281173	2.54E-13
112074	-3.492305275	3.09E-13
114381	-3.396895013	3.14E-13
108490	2.097468061	5.32E-13
84835	-3.333174847	5.50E-13
159839	-2.700941672	6.21E-13
104248	-3.96872873	6.25E-13
156465	1.984884567	7.36E-13
115549	-1.708128185	1.01E-12
105267	-1.791326774	1.04E-12
157316	1.763913785	1.40E-12
163245	-3.229318135	3.07E-12
112842	-4.029578135	3.82E-12
186024	1.438411439	4.02E-12
116314	-2.58253265	4.52E-12
156125	2.10683537	6.08E-12
85042	-2.468447875	6.16E-12
189960	1.29190469	6.18E-12
106013	-2.033008853	6.65E-12
136148	1.530762758	6.82E-12
182749	-1.998209474	8.54E-12
178540	1.835684281	8.65E-12
157567	-1.791746762	1.05E-11
154858	2.021874438	1.10E-11
113848	-2.829868292	1.11E-11
149394	1.581588284	1.27E-11
78987	1.210894843	1.44E-11
157066	2.04681267	1.60E-11
107859	-1.811601886	2.65E-11
156794	1.361323143	4.10E-11
153534	1.836369798	4.24E-11
111488	-3.058611049	4.32E-11
86437	-3.160578565	4.72E-11
168039	-2.373606852	5.08E-11
165482	-3.886406481	7.17E-11
71875	-2.020613336	7.34E-11
118420	-2.229577498	1.03E-10
140453	1.450006889	1.05E-10
156498	1.066750528	1.14E-10
77497	1.32029069	1.21E-10
154895	1.621321437	1.33E-10
106728	-3.339187188	1.38E-10
143448	-1.2584267	1.43E-10
188160	1.580904049	1.51E-10
83191	2.246229729	1.79E-10
107714	-2.929406436	1.88E-10
110016	2.196321626	2.03E-10
110009	-1.139556533	2.13E-10
110985	-3.302541295	2.92E-10
155023	2.046659347	3.02E-10
113169	-1.526622476	3.13E-10
104887	1.303192539	3.17E-10
115484	1.561906626	3.64E-10
156766	1.31317731	4.03E-10
138189	-2.182652485	4.22E-10
113990	-1.395872025	4.31E-10
108274	-2.591238294	4.73E-10
180692	2.006287122	6.85E-10
159099	1.311720589	7.62E-10
105472	1.827131581	7.70E-10
29874	2.614103061	7.97E-10
154749	2.013228779	8.01E-10
165154	-3.014297097	1.08E-09
183446	-1.592542948	1.11E-09
